Copyright (C) 1991-2013 Altera Corporation
Your use of Altera Corporation's design tools, logic functions 
and other software and tools, and its AMPP partner logic 
functions, and any output files from any of the foregoing 
(including device programming or simulation files), and any 
associated documentation or information are expressly subject 
to the terms and conditions of the Altera Program License 
Subscription Agreement, Altera MegaCore Function License 
Agreement, or other applicable license agreement, including, 
without limitation, that your use is for the sole purpose of 
programming logic devices manufactured by Altera and sold by 
Altera or its authorized distributors.  Please refer to the 
applicable agreement for further details.

Flow Summary

Flow Status,Successful - Tue Feb 11 09:59:03 2020
Quartus II 64-Bit Version,13.0.1 Build 232 06/12/2013 SP 1 SJ Full Version
Revision Name,top_nios_system
Top-level Entity Name,top_nios_system
Family,Cyclone II
Device,EP2C20F484C7
Timing Models,Final
Total logic elements,"4,536 / 18,752 ( 24 % )"
    Total combinational functions,"4,031 / 18,752 ( 21 % )"
    Dedicated logic registers,"2,934 / 18,752 ( 16 % )"
Total registers,3002
Total pins,208 / 315 ( 66 % )
Total virtual pins,0
Total memory bits,"152,064 / 239,616 ( 63 % )"
Embedded Multiplier 9-bit elements,4 / 52 ( 8 % )
Total PLLs,1 / 4 ( 25 % )
