what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1580380762222
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1580380762558
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1580380764334
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1580380764492
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1580380764587
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1580380784124
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1580380787748
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1580380793002
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1580380794750
error,log,,,"Unable to validate connection settings.",1580380806427
error,log,,,"Unable to validate connection settings.",1580380806429
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1580380806470
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1580380809251
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1580380814347
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1580380820691
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1580380825145
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1580380828633
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1580380834684
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1580380841023
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.cut",1580380852880
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1580380854120
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1580380861751
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1580380865701
executed,command,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.edit.opendecl",1580380877275
executed,command,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.edit.opendecl",1580380884565
opened,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1580380884657
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1580380884705
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1580380898939
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1580380900252
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1580380901507
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1580380903074
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1580380910360
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1580380918650
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1580380920329
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1580380925747
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1580380930977
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1580380932959
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1580380933806
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1580380934280
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1580380940515
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1580380941172
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1580380942877
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1580380946534
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1580380950200
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1580380953548
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1580380965314
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1580380967051
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.cut",1580380985765
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1580380986870
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.project.buildAll",1580380991305
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1580380991696
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1580380996506
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1580381006560
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1580381007738
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1580381009772
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1580381014102
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1580381017022
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1580381023164
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1580381037075
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1580381122911
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1580381136130
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.project.buildAll",1580381172534
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1580381172847
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1580381177906
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1580381192396
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1580381198685
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1580381203639
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1580381203727
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1580381204784
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1580381215527
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1580381219790
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1580381223036
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1580381232420
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1580381251876
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1580381257938
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1580381262229
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1580381267621
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1580381268281
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1580381269882
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.project.buildAll",1580381282223
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1580381282533
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1580381287632
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1580381289848
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1580381301291
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1580381308966
