what,kind,bundleId,bundleVersion,description,time
ws,sysinfo,,,"win32",1581687901707
locale,sysinfo,,,"fr_FR",1581687901707
processors,sysinfo,,,"4",1581687901707
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1581687901707
java.runtime.version,sysinfo,,,"1.6.0_23-b05",1581687901707
java.specification.name,sysinfo,,,"Java Platform API Specification",1581687901707
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1581687901707
java.specification.version,sysinfo,,,"1.6",1581687901707
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1581687901707
java.version,sysinfo,,,"1.6.0_23",1581687901707
java.vm.info,sysinfo,,,"mixed mode",1581687901707
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1581687901707
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1581687901707
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1581687901707
java.vm.specification.version,sysinfo,,,"1.0",1581687901707
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1581687901707
java.vm.version,sysinfo,,,"19.0-b09",1581687901707
opened,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProblemView",1581687901777
started,bundle,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch",1581687903035
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1581687910048
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1581687943814
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1581687943814
closed,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1581687947396
started,bundle,org.eclipse.compare.core,3.5.200.I20110208-0800,"org.eclipse.compare.core",1581687947778
started,bundle,org.eclipse.compare,3.5.202.R37x_v20111109-0800,"org.eclipse.compare",1581687947798
started,bundle,com.altera.sbtgui.core,13.13.0.132,"com.altera.sbtgui.core",1581687948030
stopped,bundle,org.eclipse.cdt.build.crossgcc,1.0.2.201202111925,"org.eclipse.cdt.build.crossgcc",1581687948120
stopped,bundle,org.eclipse.cdt.codan.checkers.ui,1.0.0.201202111925,"org.eclipse.cdt.codan.checkers.ui",1581687948130
stopped,bundle,com.altera.debug.cdi.gdb.plugin,13.13.0.132,"com.altera.debug.cdi.gdb.plugin",1581687948140
stopped,bundle,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch",1581687948140
stopped,bundle,com.altera.sbtgui.ui,13.13.0.132,"com.altera.sbtgui.ui",1581687948140
stopped,bundle,com.altera.sbtgui.project,13.13.0.132,"com.altera.sbtgui.project",1581687948140
stopped,bundle,org.eclipse.cdt.codan.checkers,1.0.1.201202111925,"org.eclipse.cdt.codan.checkers",1581687948140
stopped,bundle,org.eclipse.cdt.codan.ui.cxx,2.0.0.201202111925,"org.eclipse.cdt.codan.ui.cxx",1581687948140
stopped,bundle,org.eclipse.cdt.codan.core.cxx,1.0.0.201202111925,"org.eclipse.cdt.codan.core.cxx",1581687948140
stopped,bundle,org.eclipse.cdt.launch.remote,2.3.0.201202111925,"org.eclipse.cdt.launch.remote",1581687948140
stopped,bundle,org.eclipse.cdt.debug.mi.ui,6.1.1.201202111925,"org.eclipse.cdt.debug.mi.ui",1581687948150
stopped,bundle,org.eclipse.cdt.debug.mi.core,7.1.1.201202111925,"org.eclipse.cdt.debug.mi.core",1581687948160
stopped,bundle,org.eclipse.cdt.debug.ui.memory.memorybrowser,1.2.100.201202111925,"org.eclipse.cdt.debug.ui.memory.memorybrowser",1581687948170
stopped,bundle,org.eclipse.cdt.debug.ui.memory.search,1.2.1.201202111925,"org.eclipse.cdt.debug.ui.memory.search",1581687948221
stopped,bundle,org.eclipse.cdt.dsf.gdb.ui,2.2.1.201202111925,"org.eclipse.cdt.dsf.gdb.ui",1581687948231
