what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.compare,3.5.202.R37x_v20111109-0800,"org.eclipse.compare",1581413595482
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1581413597312
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1581413599222
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1581413614220
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1581413614610
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.project.buildAll",1581413615470
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1581413615770
started,bundle,org.eclipse.cdt.codan.checkers.ui,1.0.0.201202111925,"org.eclipse.cdt.codan.checkers.ui",1581413646159
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1581413649869
started,bundle,org.eclipse.cdt.debug.core,7.1.0.201202111925,"org.eclipse.cdt.debug.core",1581413653788
started,bundle,org.eclipse.cdt.debug.ui,7.1.2.201202111925,"org.eclipse.cdt.debug.ui",1581413653798
started,bundle,org.eclipse.cdt.launch,7.0.0.201202111925,"org.eclipse.cdt.launch",1581413654028
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1581413657648
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1581413659108
activated,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProblemView",1581413660268
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1581413667687
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1581413668907
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1581413669097
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1581413669817
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.project.buildAll",1581413670287
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1581413670596
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1581413681005
error,log,,,"Unable to validate connection settings.",1581413694044
error,log,,,"Unable to validate connection settings.",1581413694054
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1581413694074
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1581413696694
started,bundle,com.altera.debug.cdi.gdb.plugin,13.13.0.132,"com.altera.debug.cdi.gdb.plugin",1581413705953
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1581413706253
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1581413716852
opened,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1581413719611
started,bundle,org.eclipse.cdt.debug.mi.ui,6.1.1.201202111925,"org.eclipse.cdt.debug.mi.ui",1581413720061
started,bundle,org.eclipse.cdt.debug.mi.core,7.1.1.201202111925,"org.eclipse.cdt.debug.mi.core",1581413720071
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1581413722411
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1581413722801
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1581413731146
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1581413731962
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1581413733238
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1581413735518
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1581413737817
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1581413739747
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1581413739757
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1581413739777
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1581413740437
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1581413753186
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1581413753206
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1581413764485
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1581413765455
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1581413766805
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1581413769564
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1581413771514
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1581413772854
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1581413774304
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1581413791402
