what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.mylyn.monitor.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.monitor.ui",1581688486152
started,bundle,org.eclipse.mylyn.tasks.ui,3.6.5.v20120215-0100,"org.eclipse.mylyn.tasks.ui",1581688486162
started,bundle,org.eclipse.mylyn.team.ui,3.6.1.v20110825-0100,"org.eclipse.mylyn.team.ui",1581688486162
started,bundle,org.eclipse.search,3.7.0.v20110928-1504,"org.eclipse.search",1581688486162
started,bundle,org.eclipse.team.core,3.6.0.I20110525-0800,"org.eclipse.team.core",1581688486162
started,bundle,org.eclipse.team.cvs.core,3.3.400.I20110510-0800,"org.eclipse.team.cvs.core",1581688486162
started,bundle,org.eclipse.team.cvs.ui,3.3.401.v20120126-1227,"org.eclipse.team.cvs.ui",1581688486162
started,bundle,org.eclipse.team.ui,3.6.101.R37x_v20111109-0800,"org.eclipse.team.ui",1581688486162
started,bundle,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui",1581688486162
started,bundle,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console",1581688486162
started,bundle,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.editors",1581688486162
started,bundle,org.eclipse.ui.forms,3.5.101.v20111011-1919,"org.eclipse.ui.forms",1581688486162
started,bundle,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.ide",1581688486162
started,bundle,org.eclipse.ui.intro,3.4.100.v20110425,"org.eclipse.ui.intro",1581688486162
started,bundle,org.eclipse.ui.intro.universal,3.2.500.v20110510,"org.eclipse.ui.intro.universal",1581688486162
started,bundle,org.eclipse.ui.navigator,3.5.101.v20120106-1355,"org.eclipse.ui.navigator",1581688486162
started,bundle,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.resources",1581688486162
started,bundle,org.eclipse.ui.net,1.2.100.v20111208-1155,"org.eclipse.ui.net",1581688486162
started,bundle,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views",1581688486162
started,bundle,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"org.eclipse.ui.workbench",1581688486162
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.workbench.texteditor",1581688486172
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1581688486172
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1581688486172
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1581688486172
started,bundle,com.altera.sbtgui.integration,13.13.0.132,"com.altera.sbtgui.integration",1581688486172
started,bundle,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch",1581688486172
started,bundle,com.altera.sbtgui.project,13.13.0.132,"com.altera.sbtgui.project",1581688486172
started,bundle,com.altera.systemconsole,13.13.0.132,"com.altera.systemconsole",1581688486172
started,bundle,com.altera.systemconsole.designs.plugin,13.13.0.132,"com.altera.systemconsole.designs.plugin",1581688486172
started,bundle,com.altera.utilities,13.13.0.132,"com.altera.utilities",1581688486172
os,sysinfo,,,"win32",1581688486172
arch,sysinfo,,,"x86",1581688486172
ws,sysinfo,,,"win32",1581688486172
locale,sysinfo,,,"fr_FR",1581688486172
processors,sysinfo,,,"4",1581688486172
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1581688486172
java.runtime.version,sysinfo,,,"1.6.0_23-b05",1581688486172
java.specification.name,sysinfo,,,"Java Platform API Specification",1581688486172
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1581688486172
java.specification.version,sysinfo,,,"1.6",1581688486172
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1581688486172
java.version,sysinfo,,,"1.6.0_23",1581688486172
java.vm.info,sysinfo,,,"mixed mode",1581688486172
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1581688486172
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1581688486172
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1581688486172
java.vm.specification.version,sysinfo,,,"1.0",1581688486172
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1581688486172
java.vm.version,sysinfo,,,"19.0-b09",1581688486172
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1581688486592
started,bundle,org.eclipse.cdt.codan.ui,2.0.1.201202111925,"org.eclipse.cdt.codan.ui",1581688487232
started,bundle,com.altera.sbtgui.core,13.13.0.132,"com.altera.sbtgui.core",1581688487262
started,bundle,org.eclipse.cdt.codan.checkers.ui,1.0.0.201202111925,"org.eclipse.cdt.codan.checkers.ui",1581688487272
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.project.buildAll",1581688490312
opened,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1581688490612
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1581688490642
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1581688491942
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1581688498291
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1581688505891
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1581688511630
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1581688512720
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1581688513430
started,bundle,org.eclipse.compare,3.5.202.R37x_v20111109-0800,"org.eclipse.compare",1581688513630
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1581688514580
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1581688515550
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1581688517130
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1581688518970
started,bundle,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui",1581688520610
started,bundle,org.eclipse.cdt.dsf,2.2.0.201202111925,"org.eclipse.cdt.dsf",1581688520610
